Attack Date: 13-11-2013 @ 05:04:22 | Attacker IP: 127.0.0.1 | QueryString: /Filosofiq/index.php?=value=question&answer=%d0%a8%d0%be%d0%bf%d0%b5%d0%bd%d1%85%d0%b0%d1%83%d0%b5%d1%80&number=22

Attack Date: 13-11-2013 @ 05:04:25 | Attacker IP: 127.0.0.1 | QueryString: /Filosofiq/index.php?=value=question&answer=%d0%a1%d0%be%d0%ba%d1%80%d0%b0%d1%82&number=21

Attack Date: 13-11-2013 @ 05:16:50 | Attacker IP: 192.168.0.101 | QueryString: /Filosofiq/index.php?=value=question&answer=%d0%a8%d0%be%d0%bf%d0%b5%d0%bd%d1%85%d0%b0%d1%83%d0%b5%d1%80&number=21

Attack Date: 13-11-2013 @ 05:16:53 | Attacker IP: 192.168.0.101 | QueryString: /Filosofiq/index.php?=value=question&answer=%d0%a1%d0%be%d0%ba%d1%80%d0%b0%d1%82&number=22

Attack Date: 13-11-2013 @ 05:17:34 | Attacker IP: 192.168.0.101 | QueryString: /Filosofiq/index.php?=value=question&answer=%d0%a8%d0%be%d0%bf%d0%b5%d0%bd%d1%85%d0%b0%d1%83%d0%b5%d1%80&number=21

Attack Date: 13-11-2013 @ 05:17:44 | Attacker IP: 192.168.0.101 | QueryString: /Filosofiq/index.php?=value=question&answer=%d0%a8%d0%be%d0%bf%d0%b5%d0%bd%d1%85%d0%b0%d1%83%d0%b5%d1%80&number=21

Attack Date: 13-11-2013 @ 05:18:42 | Attacker IP: 192.168.0.101 | QueryString: /Filosofiq/index.php?=value=question&answer=%d0%a1%d0%be%d0%ba%d1%80%d0%b0%d1%82&number=22

Attack Date: 13-11-2013 @ 05:19:31 | Attacker IP: 192.168.0.101 | QueryString: /Filosofiq/index.php?=value=question&answer=%d0%a8%d0%be%d0%bf%d0%b5%d0%bd%d1%85%d0%b0%d1%83%d0%b5%d1%80&number=21

Attack Date: 13-11-2013 @ 05:19:36 | Attacker IP: 192.168.0.101 | QueryString: /Filosofiq/index.php?=value=question&answer=%d0%a8%d0%be%d0%bf%d0%b5%d0%bd%d1%85%d0%b0%d1%83%d0%b5%d1%80&number=21

Attack Date: 13-11-2013 @ 05:19:48 | Attacker IP: 192.168.0.101 | QueryString: /Filosofiq/index.php?=value=question&answer=%d0%a8%d0%be%d0%bf%d0%b5%d0%bd%d1%85%d0%b0%d1%83%d0%b5%d1%80&number=22

Attack Date: 13-11-2013 @ 05:19:51 | Attacker IP: 192.168.0.101 | QueryString: /Filosofiq/index.php?=value=question&answer=%d0%a8%d0%be%d0%bf%d0%b5%d0%bd%d1%85%d0%b0%d1%83%d0%b5%d1%80&number=21

Attack Date: 13-11-2013 @ 05:20:06 | Attacker IP: 192.168.0.101 | QueryString: /Filosofiq/index.php?=value=question&answer=%d0%a8%d0%be%d0%bf%d0%b5%d0%bd%d1%85%d0%b0%d1%83%d0%b5%d1%80&number=21

Attack Date: 13-11-2013 @ 05:20:39 | Attacker IP: 192.168.0.101 | QueryString: /Filosofiq/index.php?=value=question&answer=%d0%a1%d0%be%d0%ba%d1%80%d0%b0%d1%82&number=21

Attack Date: 13-11-2013 @ 05:21:51 | Attacker IP: 192.168.0.101 | QueryString: /Filosofiq/index.php?=value=question&answer=%d0%90%d1%80%d0%b8%d1%81%d1%82%d0%be%d1%82%d0%b5%d0%bb&number=21

Attack Date: 13-11-2013 @ 05:22:04 | Attacker IP: 192.168.0.101 | QueryString: /Filosofiq/index.php?=value=question&answer=%d0%90%d1%80%d0%b8%d1%81%d1%82%d0%be%d1%82%d0%b5%d0%bb&number=21

Attack Date: 13-11-2013 @ 05:22:07 | Attacker IP: 192.168.0.101 | QueryString: /Filosofiq/index.php?=value=question&answer=%d0%9f%d0%bb%d0%b0%d1%82%d0%be%d0%bd&number=21

Attack Date: 13-11-2013 @ 05:22:56 | Attacker IP: 192.168.0.101 | QueryString: /Filosofiq/index.php?=value=question&answer=%d0%90%d1%80%d0%b8%d1%81%d1%82%d0%be%d1%82%d0%b5%d0%bb&number=21

Attack Date: 13-11-2013 @ 05:23:02 | Attacker IP: 192.168.0.101 | QueryString: /Filosofiq/index.php?=value=question&answer=%d0%a8%d0%be%d0%bf%d0%b5%d0%bd%d1%85%d0%b0%d1%83%d0%b5%d1%80&number=22

Attack Date: 13-11-2013 @ 05:23:33 | Attacker IP: 192.168.0.101 | QueryString: /Filosofiq/index.php?=value=question&answer=%d0%a1%d0%be%d0%ba%d1%80%d0%b0%d1%82&number=21

